,pearson_corr,p_val2
mH&Y_Gamma_channel87,-0.3811661593425898,0.09728642332090986
mH&Y_Beta_channel89,-0.38077990175424775,0.09765419880327086
mH&Y_Theta_channel20,-0.37942130673959146,0.09895584837203189
UPDRS III _Beta_channel67,-0.37884274313893207,0.09951398383496271
Apathy_Alpha_channel53,0.3783570790277341,0.0999842677383809
UPDRS III _Gamma_channel52,-0.3782677590670246,0.10007093497588719
UPDRS III _Theta_channel85,-0.37722652259843253,0.10108528711450629
UPDRS III _Delta_channel56,-0.3762087893356111,0.10208395163378432
MoCA corretto_Gamma_channel14,-0.37604528722234143,0.10224505642466811
BDI_Alpha_channel101,0.37580598887120653,0.10248117910510737
MoCA corretto_Beta_channel86,-0.3756992586118245,0.10258662063794947
mH&Y_Alpha_channel61,-0.37519773077732366,0.10308314827100415
UPDRS III _Delta_channel12,-0.37512263301399223,0.10315764726889586
MoCA corretto_Theta_channel4,-0.37504734520945116,0.10323237402972212
MoCA corretto_Gamma_channel96,0.37483009891690827,0.10344822173730422
UPDRS III _Beta_channel27,-0.37470541273399005,0.1035722530989904
UPDRS III _Theta_channel54,-0.37439921733926296,0.10387729839791454
MoCA corretto_Alpha_channel9,-0.3729412568397024,0.10533873005856254
mH&Y_Theta_channel67,-0.3728739064763179,0.10540659888045838
UPDRS III _Delta_channel58,-0.3726594153626052,0.10562295227889845
BDI_Gamma_channel94,-0.37246534961604183,0.10581898004962206
mH&Y_Delta_channel17,-0.37154750203535664,0.10674967899388278
UPDRS III _Theta_channel30,0.3712613385501704,0.10704105697481585
mH&Y_Theta_channel60,-0.37104914488929175,0.10725748851478997
Apathy_Beta_channel11,0.37090977006805326,0.10739981904899543
UPDRS III _Beta_channel107,-0.370770339755837,0.1075423429031199
MoCA corretto_Delta_channel12,-0.37071012266988546,0.10760393830331745
mH&Y_Delta_channel70,-0.37066873536442635,0.10764628771816562
UPDRS III _Alpha_channel101,-0.3702557258368522,0.10806955877645563
Apathy_Theta_channel53,0.3702432199949667,0.10808239407391707
mH&Y_Delta_channel69,-0.3699394340112723,0.10839452165681449
UPDRS III _Beta_channel78,-0.3696888924416588,0.10865243254798809
MoCA corretto_Beta_channel107,0.36900719609214694,0.10935642408231995
mH&Y_Delta_channel16,-0.36824656076306844,0.11014581749488642
UPDRS III _Beta_channel94,-0.36796387458201585,0.11044023680905843
Apathy_Delta_channel13,0.36792687892038634,0.11047880997482973
UPDRS III _Beta_channel63,-0.3672718855832269,0.11116334242709458
UPDRS III _Gamma_channel16,-0.36714984470094997,0.11129122430331687
